[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 39.985769}, {'time': '2023-06-07T12:49:30Z', 'mean': 40.914396}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 51.4747479}, {'time': '2023-06-07T12:49:30Z', 'mean': 51.975591}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 39.4010169}, {'time': '2023-06-07T12:49:30Z', 'mean': 38.092368}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.1074501}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0925499}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 92.18885}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 147.800004}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 39.96486}, {'time': '2023-06-07T12:49:30Z', 'mean': 39.359411}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 10.0104186}, {'time': '2023-06-07T12:49:30Z', 'mean': 10.641803}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 1.8606558}, {'time': '2023-06-07T12:49:30Z', 'mean': 1.849528}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.8867111}, {'time': '2023-06-07T12:49:30Z', 'mean': 1.0287798}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.3704686}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.1534474}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 96.76446}, {'time': '2023-06-07T12:49:30Z', 'mean': 96.850547}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 23.3615263}, {'time': '2023-06-07T12:49:30Z', 'mean': 19.8221618}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 1232.10399}, {'time': '2023-06-07T12:49:30Z', 'mean': 1232.53921}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 66357.206}, {'time': '2023-06-07T12:49:30Z', 'mean': 66360.75}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 48402.02}, {'time': '2023-06-07T12:49:30Z', 'mean': 48402.372}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 123.68047}, {'time': '2023-06-07T12:49:30Z', 'mean': 123.716406}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 13670.6749}, {'time': '2023-06-07T12:49:30Z', 'mean': 13666.7443}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9823783.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9823783.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9408533.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9408533.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9611993.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9611993.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9604592.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9604592.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9615174.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9615174.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9663511.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9663511.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 10108774.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 10108774.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 10187631.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 10187631.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 10044226.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 10044226.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9475777.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 9475777.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 9718507.3}, {'time': '2023-06-07T12:49:30Z', 'mean': 9717955.9}]
